Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /predict,897,0,10,15.037819915345985,5.348673003027216,214.39558200290776,55.56633221850613,30.880510808562576,0.0,10,13,17,20,28,36,49,70,210,210,210
,Aggregated,897,0,10,15.037819915345985,5.348673003027216,214.39558200290776,55.56633221850613,30.880510808562576,0.0,10,13,17,20,28,36,49,70,210,210,210
