Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /predict,3586,0,25,75.11507411349224,5.874915001186309,2677.6768879972224,55.9478527607362,123.46554261454087,0.0,25,37,51,66,170,340,600,830,1800,2700,2700
,Aggregated,3586,0,25,75.11507411349224,5.874915001186309,2677.6768879972224,55.9478527607362,123.46554261454087,0.0,25,37,51,66,170,340,600,830,1800,2700,2700
